"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","X3PR","X3PRD","ADJ_T","WAB"
"41",2024,1,1,"Connecticut",10,"Nevada",2,5,12,-4.40000000000001,0.108,3.8,-3.1,-0.0999999999999996,-1.1,9,-0.399999999999999,-12.9,-1.8,5.9,-5.4,0.200000000000003,0.599999999999998,7.3,-7.8,-2.2,8.6
"42",2024,1,1,"Connecticut",11,"Duquesne",0,7,20.8,-2.5,0.21,7,-2.9,-2.6,-3.3,6.6,-3.2,0.199999999999996,-2.8,8.9,-4.7,2.8,0.199999999999999,1.2,-4.09999999999999,-1.7,13.1
"43",2024,1,1,"Connecticut",11,"North Carolina State",-2,9,13.1,-7.60000000000001,0.1731,6.4,-5.4,1.2,-1.7,7.9,-2.5,0.799999999999997,0.600000000000001,8.4,-5.8,2.1,-3,7.4,-2.09999999999999,-3.30000000000001,11.9
"44",2024,1,1,"Connecticut",11,"Oregon",0,8,13.8,-6,0.1563,5.3,-6.4,0.0999999999999996,-1.7,7.8,-0.300000000000001,1,-0.299999999999997,5.8,-7.9,3.1,-2.4,4.2,-3,-2.5,9.9
"45",2024,1,1,"Connecticut",11,"New Mexico",0,5,12.3,-1.90000000000001,0.0784999999999999,6.1,-2.9,1,-3.3,3.1,-0.199999999999999,0.199999999999996,-1,7.1,-5.5,3.3,1.3,11.1,-3.4,-8.2,9.6
"46",2024,1,1,"Connecticut",12,"UAB",1,8,14.4,-12.7,0.3078,7,-5.9,-1.8,0.0999999999999979,1.2,-4.2,-7.2,1.1,8.1,-6.5,3.6,-3.1,9.6,-3.5,-3.10000000000001,14
"47",2024,1,1,"Connecticut",12,"James Madison",1,0,15.1,-6.80000000000001,0.1932,2.7,-1.6,0.200000000000001,-3.6,4.5,-0.800000000000001,-0.900000000000006,-2.6,4.3,-5.09999999999999,0.200000000000003,3.3,2.8,-1.9,-5.2,9.8
"48",2024,1,1,"Connecticut",12,"McNeese State",5,1,15.8,-7.40000000000001,0.2188,2.2,-2.7,0.700000000000001,-6.8,4.4,-3.6,-7.3,-1.4,5.7,-2.59999999999999,-2.7,-1.1,7.3,-14.9,-0.700000000000003,10.6
"49",2024,1,1,"Connecticut",12,"Grand Canyon",2,2,16,-6.2,0.1979,5.1,-0.799999999999997,-2.9,-3.7,1.9,-2.8,-12,-2.3,6.2,-0.699999999999996,2.3,-0.700000000000003,4.8,-0.399999999999999,-3.40000000000001,10
"50",2024,1,1,"Connecticut",13,"Yale",5,9,17.3,-6.5,0.2275,4.8,-4.6,0.800000000000001,0.199999999999999,8.1,2.8,6.4,3.5,6,-5.09999999999999,2.1,-2.1,5.6,-8.2,0,13.8
"51",2024,1,1,"Connecticut",13,"Vermont",2,3,22.6,-5.10000000000001,0.3119,5.3,-1.6,1.1,1.1,14.1,3.5,3.6,6.6,5.4,-2.7,3.2,0.399999999999999,-3.2,-3.3,1.3,12.5
"52",2024,1,1,"Connecticut",13,"Samford",2,2,15.4,-8.80000000000001,0.2397,0.200000000000003,-4.9,-3.2,-5.5,6.3,-5.2,-3.1,-4.5,3,-5.8,-2.59999999999999,-2,0,-6.9,-8,11.23
"53",2024,1,1,"Connecticut",13,"Charleston",1,4,13.8,-11.6,0.2693,4.7,-5.5,0.6,-0.199999999999999,3,0.199999999999999,6.4,4.2,5.9,-6.8,1.90000000000001,-1.9,-6.2,-3.7,-5.40000000000001,12.9
"54",2024,1,1,"Connecticut",14,"Morehead State",4,5,20.4,-9.80000000000001,0.3823,2.7,-0.600000000000001,-3.6,0.699999999999999,4.5,0.400000000000002,2,-0.200000000000003,2.9,-1.7,1.40000000000001,0.799999999999997,-4.2,2,0.299999999999997,14.7
"55",2024,1,1,"Connecticut",14,"Oakland",0,8,19.3,-11,0.3859,5,-5.5,-1.3,-0.100000000000001,5.9,-1.8,2.4,5.7,6.7,-6.8,1.6,-2,0.100000000000001,-7.5,-2.2,15.5
"56",2024,1,1,"Connecticut",14,"Akron",2,7,22.1,-8,0.3759,5.1,-3.5,-2.3,-0.400000000000002,7,1.2,-0.300000000000004,3.5,3.7,-7,4.7,1.9,-0.600000000000001,-3.59999999999999,-1.10000000000001,15.8
"57",2024,1,1,"Connecticut",14,"Colgate",1,6,24.8,-8.2,0.4584,3.7,-2.1,-1.4,0.0999999999999979,11.5,2.3,5.7,8,5.2,-5,1,2,2.6,-6.4,-1.60000000000001,15.4
"58",2024,1,1,"Connecticut",15,"South Dakota State",3,9,19.5,-10.8,0.3876,1.8,-5.7,-1.5,-0.300000000000001,12.1,1.5,2.9,5.1,2.6,-5.3,0.5,-3.3,0.699999999999996,-13.9,-3.30000000000001,18.7
"59",2024,1,1,"Connecticut",15,"Western Kentucky",4,9,21.9,-8.2,0.3774,5.2,-3.2,-3.4,-2.4,8,0.100000000000001,0.399999999999999,-0.899999999999999,6.4,-4.59999999999999,2.3,-0.300000000000004,9.9,-6.9,-10.5,17.9
"60",2024,1,1,"Connecticut",15,"Saint Peter's",3,12,30.3,-6.60000000000001,0.5674,12.1,-1.5,-4.7,-4.1,1.4,-2.6,-4.8,-9.8,16.1,-2.7,2.8,0.399999999999999,9.8,-1.3,0.599999999999994,20.1
"61",2024,1,1,"Connecticut",15,"Long Beach State",1,10,21.7,-14.4,0.5399,8.2,-6.1,-2.2,-2.3,3.2,-2.8,-4.8,-0.100000000000001,8.8,-6.3,5.4,-3.2,12.6,-10.4,-6.80000000000001,19.3
"62",2024,1,1,"Connecticut",16,"Stetson",3,9,18.8,-20.4,0.6153,3.7,-6.9,-0.9,2.7,9,-4.4,1.6,6.6,6,-8.5,0.200000000000003,-2.6,-0.899999999999999,-4.2,-1.40000000000001,18.1
"63",2024,1,1,"Connecticut",16,"Longwood",3,10,23.1,-11.2,0.4944,7.7,-6.2,-3.1,-3.4,-0.200000000000003,1.3,-6.2,-3.6,9.9,-7.2,2.5,-2.7,12.6,-6.3,-2.2,19.9
"64",2024,1,1,"Connecticut",16,"Grambling State",3,11,29.4,-12.4,0.6907,8.9,-4,-5.6,-2.8,8.4,-5.9,-6.3,-1.4,11.5,-4.7,2.6,-1.8,11.1,-0.199999999999996,-0.300000000000011,19.3
"65",2024,1,1,"Connecticut",16,"Montana State",3,14,24.2,-12.2,0.5519,3.2,-7.2,-1.9,-2.4,15.8,-1.8,2.6,-4.5,5.1,-10.4,0.300000000000004,-0.700000000000003,-0.5,-2.2,-3.90000000000001,23.9
"66",2024,1,1,"Connecticut",16,"Howard",2,13,22.6,-19.3,0.6799,5.1,-5.8,-6.5,-0.5,3.1,-3.9,-8.90000000000001,-6.6,9.3,-7.09999999999999,-0.799999999999997,-2.1,2,0,-3.10000000000001,23.4
"67",2024,1,1,"Connecticut",16,"Wagner",5,15,32.1,-11.4,0.7313,12.5,-3.3,-1,-0.800000000000001,7,-0.199999999999999,6.5,2.6,15.7,-7.2,5.1,2,2.7,-8,3.3,23
"68",2024,1,1,"Purdue",1,"Houston",-1,-1,7,9.2,-0.0141,6.3,3.7,2.8,-10.7,0.5,-5.5,12.9,-16,4.8,4.7,6.09999999999999,1.4,-1.6,-3.7,4.3,0.4
"69",2024,1,1,"Purdue",1,"North Carolina",-1,2,9.40000000000001,1.5,0.0339,4.7,1.3,2.1,-0.9,4.6,1.2,6,-5.3,2.90000000000001,2.1,5.4,0,-0.899999999999999,1.1,-2.80000000000001,4.4
"70",2024,1,1,"Purdue",2,"Iowa State",-1,2,12.6,8.2,0.00609999999999999,4.1,0.600000000000001,0.800000000000001,-11.7,5.8,-4.7,6.7,-12.2,1.5,1.2,5.9,-0.100000000000001,3,-7.8,0,4.1
"71",2024,1,1,"Purdue",2,"Marquette",-1,4,7.3,0.100000000000009,0.0316000000000001,0.899999999999999,-2,2.2,-7.1,11.4,-6.1,17.2,-5.2,-2.8,-1.1,5,-2.2,-5.5,-5.9,-1.5,4.5
"72",2024,1,1,"Purdue",2,"Tennessee",1,5,10.6,3.5,0.0262,4.5,2.3,1.9,-4.9,5,-3.9,8.5,-12.8,1.6,3.8,6.59999999999999,0,-6.3,-4.2,-1.60000000000001,5.2
"73",2024,1,1,"Purdue",2,"Arizona",0,4,4.7,1.10000000000001,0.0118,1,-1,0.399999999999999,-4.1,1.1,1.6,6.09999999999999,-2.7,-1.4,0.300000000000004,3.7,-2,2.4,-1,-4.40000000000001,6.1
"74",2024,1,1,"Purdue",3,"Illinois",-1,3,0.900000000000006,-6.39999999999999,0.0423,2.2,-0.299999999999997,1.4,1.7,1.2,-1.4,5,-4.1,-1.5,1.5,5.9,-2.9,-3.3,9.3,-2.30000000000001,5
"75",2024,1,1,"Purdue",3,"Kentucky",1,6,3.2,-7.5,0.0710000000000001,-1.4,-1.8,2.3,-2,8.5,-5.5,12.4,-10.4,-1.5,-1.7,-0.400000000000006,-1.2,-2.3,-2.7,-4.90000000000001,8.1
"76",2024,1,1,"Purdue",3,"Creighton",1,6,5.60000000000001,-1.8,0.0355000000000001,-1.5,1.3,1.2,2.8,11.5,0.0999999999999979,18.3,6.8,-7.4,2.4,4.7,-0.800000000000004,-13.9,10,0.699999999999989,6.6
"77",2024,1,1,"Purdue",3,"Baylor",1,6,4,-5.2,0.0541,0.399999999999999,-3.59999999999999,-1.2,-3.1,2.3,-2.4,2.3,-7.9,-0.199999999999996,-3.8,1.4,-2.1,-3.3,1.7,1.89999999999999,5.9
"78",2024,1,1,"Purdue",4,"Auburn",-1,2,5.5,2.60000000000001,0.0071,1.9,4.3,1.6,-4.2,4.5,-5.6,4.59999999999999,-18,-1.7,5.3,5.59999999999999,1.6,-2.5,3.90000000000001,-2.2,5.5
"79",2024,1,1,"Purdue",4,"Duke",1,5,5.40000000000001,-2.09999999999999,0.0372,0.799999999999997,-1.3,2.2,-2.9,5.6,-1.2,9,-4.6,-1.2,-1,3.09999999999999,-1.2,-2.4,1.7,0.699999999999989,7.7
"80",2024,1,1,"Purdue",4,"Kansas",2,7,12.7,2,0.0533,2.6,0.100000000000001,0.100000000000001,-2.8,12.1,-1.7,10,-5.5,-1.59999999999999,2.8,7.5,-2.4,5.3,-3.9,-1.30000000000001,6.7
"81",2024,1,1,"Purdue",4,"Alabama",1,8,1,-7.39999999999999,0.0518000000000001,-0.299999999999997,-2.2,0.5,-1.6,2.5,-5.2,7.59999999999999,-16.6,-4.4,-3,4.3,-0.5,-11.8,0.5,-4.90000000000001,7.6
"82",2024,1,1,"Purdue",5,"San Diego State",1,5,14.7,0.799999999999997,0.0855,6.2,0.5,0.5,-4,4.7,-3.3,5.3,-10.3,1.6,-0.199999999999996,9.5,0.899999999999999,-2.8,-3.3,1.5,8.4
