"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"46",2023,1,1,"Houston",12,"Drake",0,4,7.5,-6.8,0.1344,-0.399999999999999,-4.8,-0.199999999999999,4.3,12.8,5,-0.300000000000001,9.1,1.3,-4.4,-2.2,-3.4,-3.10000000000001,8.6
"47",2023,1,1,"Houston",12,"VCU",0,4,12.1,-4.09999999999999,0.1567,0.5,-4.5,-4.2,-2.1,8.1,-2.4,-13.3,5.3,0.900000000000006,-3.1,-0.200000000000003,-4.5,-4.8,7.3
"48",2023,1,1,"Houston",12,"Oral Roberts",0,1,4.7,-11.6,0.1754,-3.4,-6,2.1,4.4,12.6,0,3.9,13.8,-3.4,-3.5,-2.5,-6.4,-7.2,6.4
"49",2023,1,1,"Houston",12,"College of Charleston",0,0,7.90000000000001,-8.89999999999999,0.1786,1.2,-5.4,-1.4,2.7,2,1.9,-4.2,11.1,0.300000000000004,-6,1.2,-2.5,-7.90000000000001,6.6
"50",2023,1,1,"Houston",13,"Iona",0,4,8.2,-8.59999999999999,0.1773,0.900000000000006,-3.4,0,1.1,5.1,-3.1,-0.5,4.6,2.40000000000001,-3.9,-1.5,-1.4,-5.40000000000001,9.9
"51",2023,1,1,"Houston",13,"Kent State",0,3,10.5,-7.3,0.1937,1.40000000000001,-4.7,-1,-0.600000000000001,6.2,-2.8,-3.5,-3,1,-4.7,1.3,-3.1,-4.8,7.3
"52",2023,1,1,"Houston",13,"Louisiana Lafayette",1,5,5.8,-12.9,0.2227,-0.299999999999997,-8.1,-2.2,3.9,3.3,1,-9.2,2,1,-6.1,-2.1,-8.1,-5.2,8.7
"53",2023,1,1,"Houston",13,"Furman",0,4,4.40000000000001,-15.1,0.2414,-2.9,-8.1,-0.5,3.6,7.5,0.299999999999997,-6.2,4,-5.9,-8.1,0.100000000000001,-5.3,-5.2,10.3
"54",2023,1,1,"Houston",14,"Montana State",0,6,12.6,-8.5,0.2665,1.8,-6.9,-2.3,1.9,11.4,1.9,-15.9,0.299999999999997,0.800000000000004,-4.9,2.5,-7,-3.10000000000001,11
"55",2023,1,1,"Houston",14,"Kennesaw State",0,5,11.8,-11.5,0.3245,-0.199999999999996,-8.7,-2.6,2.4,9.6,1.6,-8,-0.400000000000006,1.90000000000001,-7.4,-2.6,-7,-5.3,9.6
