YEAR,SEED,TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,3PR,3PRD,ADJ_T,WAB
2024,10,Colorado,34,24,117.2,98,0.8866,55.3,49.3,18.1,15.2,32.4,24,35.3,28.1,53.6,50.1,39.4,31.9,30.4,35.3,67.7,1.7
2024,10,Nevada,32,26,115.1,98,0.8632,53.3,48.2,15,17.3,27.5,27.2,46.2,34.3,52.6,49.1,36.5,31.3,33.6,41,66.8,2.7
2024,10,Boise State,30,22,114,97.8,0.8538,51.6,49.8,16.5,16.8,32.5,23.1,36.1,33.1,51.2,52.1,34.8,30.6,39.8,36.9,66.6,0.9
2024,10,Colorado State,32,24,113.8,98.1,0.846,54.6,49.3,14.8,16.9,24.3,27.5,32.6,31.8,57.6,48.5,33.2,34,38.3,34,65.8,1.5
2024,10,Drake,33,28,114.8,100.2,0.8283,54.9,51,13.9,17.4,24.2,22.1,32.6,31,55.1,51.9,36.5,33,39.6,39.3,67.8,1.7
2024,10,Virginia,33,23,104.6,92,0.8147,49.3,46.2,13.2,19.3,26,28.1,25.1,25.7,46.8,46.6,36.3,30.4,32.7,39.9,60,1.2
2024,11,New Mexico,34,26,114.8,95.5,0.8927,51,48,13.9,19.5,33.4,27,33.1,33.5,51.4,49.2,33.4,30.6,29.8,36.6,72.8,1.7
2024,11,Oregon,34,23,113.3,99.6,0.8149,51.8,51.5,14.8,17.9,28.7,27.1,32.3,32.8,52.7,51.6,33.6,34.3,36.7,36.2,67.1,1.4
2024,11,North Carolina State,36,22,114,101.2,0.7981,50.7,50.5,13.7,17.9,28.6,29.3,32.5,31.9,50.1,49.5,34.6,34.9,33.5,35.3,67.9,-0.6
2024,11,Duquesne,34,24,106.3,96.1,0.7612,50.1,48,17.5,19.5,29.9,30,33.1,35.3,49.6,48.4,33.9,31.7,39.7,37.3,66.3,-1.8
2024,12,James Madison,33,31,112,100.4,0.778,54.4,46.7,14.7,19.8,32,27.6,34.2,35.1,54.2,48.8,36.5,28.6,38.1,35.1,69.8,1.5
2024,12,Grand Canyon,32,29,111.1,99.8,0.7733,52,45.9,17.8,19.9,34.6,29.6,45.3,34.8,52.3,44.4,34.4,32.6,36.1,33.6,68,1.3
2024,12,McNeese State,29,30,111.3,101,0.7524,54.9,47.8,14.2,23,32.1,30.4,40.6,33.9,52.8,46.3,39.4,33,33.6,48.1,65.3,0.7
2024,12,UAB,33,23,112.7,106.3,0.6634,50.1,51,16.7,16.1,35.3,31,40.5,31.4,50.4,50.2,33.1,35,31.3,36.7,67.7,-2.7
2024,13,Yale,29,22,109.8,100.1,0.7437,52.3,49.7,14.1,16,28.4,24,26.9,29,52.5,48.8,34.6,34,35.3,41.4,64.6,-2.5
2024,13,Samford,32,29,111.7,102.4,0.7315,56.9,50,18.1,21.7,30.2,32,36.4,37,55.5,49.5,39.3,33.9,40.9,40.1,72.6,0.07
2024,13,Charleston,33,27,113.3,105.2,0.7019,52.4,50.6,14.3,16.4,33.5,26.6,26.9,28.3,52.6,50.5,34.8,33.8,47.1,36.9,70,-1.6
2024,13,Vermont,32,28,104.5,98.7,0.6593,51.8,46.7,13.8,15.1,22.4,23.3,29.7,25.9,53.1,46.4,33.5,31.5,44.1,36.5,63.3,-1.2
2024,14,Akron,32,24,105,101.6,0.5953,52,48.6,17.2,16.6,29.5,25.6,33.6,29,54.8,50.7,32,30,41.5,36.8,65.7,-4.5
2024,14,Morehead State,30,26,106.7,103.4,0.5889,54.4,45.7,18.5,15.5,32,26.4,31.3,32.7,55.6,45.4,35.3,31.1,45.1,31.2,64.3,-3.4
2024,14,Oakland,34,23,107.8,104.6,0.5853,52.1,50.6,16.2,16.3,30.6,28.6,30.9,26.8,51.8,50.5,35.1,33.9,40.8,40.7,66.8,-4.2
2024,14,Colgate,33,25,102.3,101.8,0.5128,53.4,47.2,16.3,16.1,25,24.5,27.6,24.5,53.3,48.7,35.7,29.9,38.3,39.6,66.2,-4.1
2024,15,Western Kentucky,30,22,105.2,101.8,0.5938,51.9,48.3,18.3,18.6,28.5,26.7,32.9,33.4,52.1,48.3,34.4,32.2,31,40.1,75.1,-6.6
2024,15,South Dakota State,31,22,107.6,104.4,0.5836,55.3,50.8,16.4,16.5,24.4,25.3,30.4,27.4,55.9,49,36.2,35.2,40.2,47.1,67.9,-7.4
2024,15,Long Beach State,33,21,105.4,108,0.4313,48.9,51.2,17.1,18.5,33.3,29.6,38.1,32.6,49.7,50,31.3,35.1,28.3,43.6,71.4,-8
2024,15,Saint Peter's,31,19,96.8,100.2,0.4038,45,46.6,19.6,20.3,35.1,29.4,38.1,42.3,42.4,46.4,33.9,31.5,31.1,34.5,64,-8.8
2024,16,Longwood,31,21,104,104.8,0.4768,49.4,51.3,18,19.6,36.7,25.5,39.5,36.1,48.6,50.9,34.2,34.6,28.3,39.5,66.8,-8.6
2024,16,Montana State,31,17,102.9,105.8,0.4193,53.9,52.3,16.8,18.6,20.7,28.6,30.7,37,53.4,54.1,36.4,32.6,41.4,35.4,68.5,-12.6
2024,16,Stetson,31,22,108.3,114,0.3559,53.4,52,15.8,13.5,27.5,31.2,31.7,25.9,52.5,52.2,36.5,34.5,41.8,37.4,66,-6.8
2024,16,Howard,32,18,104.5,112.9,0.2913,52,50.9,21.4,16.7,33.4,30.7,42.2,39.1,49.2,50.8,37.5,34,38.9,33.2,67.7,-12.1
2024,16,Grambling State,31,20,97.7,106,0.2805,48.2,49.1,20.5,19,28.1,32.7,39.6,33.9,47,48.4,34.1,33.7,29.8,33.4,64.9,-8
2024,16,Wagner,29,16,95,105,0.2399,44.6,48.4,15.9,17,29.5,27,26.8,29.9,42.8,50.9,31.6,29.9,38.2,41.2,61.3,-11.7
