"","YEAR","ROUND","WSEED","WTEAM","WSCORE","LSEED","LTEAM","LSCORE","SCORE_DIFF","confW","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"34",2013,2,3,"Marquette",74,6,"Butler",72,2,"BE","A10",0,0,3.8,0.200000000000003,0.0396,-1.1,-0.5,0.699999999999999,2.1,2.5,6.8,2.5,-4.4,1.4,-0.399999999999999,-4.7,-0.900000000000006,-0.100000000000009,-0.2
"35",2013,2,3,"Michigan State",70,6,"Memphis",48,22,"B10","CUSA",-1,-5,5.30000000000001,-2.40000000000001,0.0720000000000001,-1.8,-1,0.100000000000001,-2.9,0.5,-3.5,-0.600000000000001,-2.5,-0.700000000000003,0.5,-3.1,-2.9,-4.89999999999999,2.2
"36",2013,2,1,"Indiana",58,9,"Temple",52,6,"B10","A10",2,5,10.3,-7.2,0.1472,5.7,-5,3.4,0.799999999999997,8.2,0,10.2,-7.1,3.2,-4.09999999999999,7.5,-4.9,1,6.3
"37",2013,2,15,"Florida Gulf Coast",81,7,"San Diego State",71,-10,"ASun","MWC",-3,-3,2.59999999999999,-6.8,0.18,-3.1,-2.2,-2.9,-3.9,-0.699999999999999,-4.9,0.0999999999999943,-3.8,-4,-3.6,-0.699999999999996,0.5,-2.3,4.4
"38",2013,2,4,"Michigan",78,5,"VCU",53,25,"B10","A10",2,3,7.7,1.60000000000001,0.0327000000000001,3.3,-1.9,-2.3,-9.8,-4.1,-5.3,-1.4,-17.6,2.9,-2.5,2.8,-0.299999999999997,-3.3,3.6
"39",2013,2,9,"Wichita State",76,1,"Gonzaga",70,-6,"MVC","WCC",-5,1,8.30000000000001,-0.799999999999997,0.0554,4.9,-0.399999999999999,-2.2,0.800000000000001,-0.200000000000003,3.3,4.3,-8.4,5.4,-1.5,2.6,0.699999999999996,0.0999999999999943,5.4
"40",2013,2,1,"Kansas",70,8,"North Carolina",58,12,"B12","ACC",2,7,0,-6.8,0.0612,4,-6.5,3.1,-3.1,-0.800000000000004,-2.3,11.3,4.9,6.6,-7,-0.800000000000004,-4.1,-3.7,5
"41",2013,2,2,"Duke",66,7,"Creighton",50,16,"ACC","MVC",0,2,2,-3.5,0.039,-4.3,-0.399999999999999,-3.3,4.3,0,5.1,5,6.6,-4.90000000000001,0.700000000000003,-1.5,-2.2,2.59999999999999,4
"42",2013,2,6,"Arizona",74,14,"Harvard",51,23,"P12","Ivy",6,8,9.5,-7.7,0.2867,-1.8,-2.6,-1.3,-1.1,9.4,-4.7,-12.2,1.7,-0.899999999999999,-5.5,-2.7,2.5,2.09999999999999,7.2
"43",2013,2,2,"Ohio State",78,10,"Iowa State",75,3,"B10","B12",2,6,-3.60000000000001,-8.89999999999999,0.0578,-3.2,-2.6,-2.3,2.1,-2.4,-0.300000000000001,2.5,-3.2,-2.5,-5.2,-1.8,1.3,-4.3,6.5
"44",2013,2,1,"Louisville",82,8,"Colorado State",56,26,"BE","MWC",7,11,-0.699999999999989,-13.9,0.0984,1.4,-3.8,1.1,10.5,-3.2,10.1,-4.1,-1.5,2.4,-3.7,-0.800000000000004,-2.3,2.3,7.1
"45",2013,2,2,"Miami FL",63,7,"Illinois",59,4,"ACC","B10",2,8,2.60000000000001,-1.90000000000001,0.0458,4.4,-3,-0.900000000000002,-3.3,-2.3,-4.6,3.6,-7.7,3.2,-3.4,4.5,-1.5,-3.09999999999999,3.9
"46",2013,2,3,"Florida",78,11,"Minnesota",64,14,"SEC","B10",3,8,3.10000000000001,-6.8,0.0644,5.90000000000001,-2.3,-3.8,2.3,-9.4,-4.8,-10.6,-6.8,5.5,-1,4.09999999999999,-2.9,-1.3,2
"47",2013,2,12,"Oregon",74,4,"Saint Louis",57,-17,"P12","A10",-2,0,3.2,-1.09999999999999,0.0453,1.1,-0.899999999999999,-3.8,1.6,-7.9,1.9,5.6,1.7,0.899999999999999,-0.799999999999997,0.700000000000003,-0.299999999999997,-4.5,0.9
"48",2013,2,13,"La Salle",76,12,"Mississippi",74,-2,"A10","SEC",2,3,-2,-0.600000000000009,-0.0176000000000001,-2.8,-2.9,-1.2,0.199999999999999,5.1,-2.4,7.5,2.6,0.100000000000001,-4.4,-5.3,1.1,4.90000000000001,1.3
"49",2014,1,2,"Wisconsin",75,15,"American",35,40,"B10","Pat",5,10,20.9,-1.8,0.3263,-2.5,0.800000000000004,-10.4,-4.3,1.6,-2.3,7.7,-13.6,-3.8,0.199999999999996,-0.299999999999997,2.2,2.5,13.4
"50",2014,1,2,"Michigan",57,15,"Wofford",40,17,"B10","SC",7,11,25.3,-2.3,0.502,6.90000000000001,-0.100000000000001,-1.6,-2.6,-1.5,1.5,1.9,-12.7,5.3,0.600000000000001,5.6,-1.1,0.5,14.2
