,Unnamed: 0,YEAR,ROUND,LSEED,LTEAM,LSCORE,SCORE_DIFF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,HSEED,HTEAM,HSCORE
38,39,2013,2,9,Wichita State,76,-6,5,-1,-8.30000000000001,0.799999999999997,-0.0554,-4.9,0.399999999999999,2.2,-0.800000000000001,0.200000000000003,-3.3,-4.3,8.4,-5.4,1.5,-2.6,-0.699999999999996,-0.0999999999999943,-5.4,1,Gonzaga,76
39,40,2013,2,8,North Carolina,58,12,2,7,0.0,-6.8,0.0612,4.0,-6.5,3.1,-3.1,-0.800000000000004,-2.3,11.3,4.9,6.6,-7.0,-0.800000000000004,-4.1,-3.7,5.0,1,Kansas,58
40,41,2013,2,7,Creighton,50,16,0,2,2.0,-3.5,0.039,-4.3,-0.399999999999999,-3.3,4.3,0.0,5.1,5.0,6.6,-4.90000000000001,0.700000000000003,-1.5,-2.2,2.59999999999999,4.0,2,Duke,50
41,42,2013,2,14,Harvard,51,23,6,8,9.5,-7.7,0.2867,-1.8,-2.6,-1.3,-1.1,9.4,-4.7,-12.2,1.7,-0.899999999999999,-5.5,-2.7,2.5,2.09999999999999,7.2,6,Arizona,51
42,43,2013,2,10,Iowa State,75,3,2,6,-3.60000000000001,-8.89999999999999,0.0578,-3.2,-2.6,-2.3,2.1,-2.4,-0.300000000000001,2.5,-3.2,-2.5,-5.2,-1.8,1.3,-4.3,6.5,2,Ohio State,75
43,44,2013,2,8,Colorado State,56,26,7,11,-0.699999999999989,-13.9,0.0984,1.4,-3.8,1.1,10.5,-3.2,10.1,-4.1,-1.5,2.4,-3.7,-0.800000000000004,-2.3,2.3,7.1,1,Louisville,56
44,45,2013,2,7,Illinois,59,4,2,8,2.60000000000001,-1.90000000000001,0.0458,4.4,-3.0,-0.900000000000002,-3.3,-2.3,-4.6,3.6,-7.7,3.2,-3.4,4.5,-1.5,-3.09999999999999,3.9,2,Miami FL,59
45,46,2013,2,11,Minnesota,64,14,3,8,3.10000000000001,-6.8,0.0644,5.90000000000001,-2.3,-3.8,2.3,-9.4,-4.8,-10.6,-6.8,5.5,-1.0,4.09999999999999,-2.9,-1.3,2.0,3,Florida,64
46,47,2013,2,12,Oregon,74,-17,2,0,-3.2,1.09999999999999,-0.0453,-1.1,0.899999999999999,3.8,-1.6,7.9,-1.9,-5.6,-1.7,-0.899999999999999,0.799999999999997,-0.700000000000003,0.299999999999997,4.5,-0.9,4,Saint Louis,74
47,48,2013,2,13,La Salle,76,-2,-2,-3,2.0,0.600000000000009,0.0176000000000001,2.8,2.9,1.2,-0.199999999999999,-5.1,2.4,-7.5,-2.6,-0.100000000000001,4.4,5.3,-1.1,-4.90000000000001,-1.3,12,Mississippi,76
48,49,2014,1,15,American,35,40,5,10,20.9,-1.8,0.3263,-2.5,0.800000000000004,-10.4,-4.3,1.6,-2.3,7.7,-13.6,-3.8,0.199999999999996,-0.299999999999997,2.2,2.5,13.4,2,Wisconsin,35
49,50,2014,1,15,Wofford,40,17,7,11,25.3,-2.3,0.502,6.90000000000001,-0.100000000000001,-1.6,-2.6,-1.5,1.5,1.9,-12.7,5.3,0.600000000000001,5.6,-1.1,0.5,14.2,2,Michigan,40
50,51,2014,1,9,George Washington,66,5,0,-1,2.39999999999999,0.200000000000003,0.0327999999999999,0.399999999999999,1.2,-0.399999999999999,0.699999999999999,0.699999999999996,1.9,-7.1,0.399999999999999,2.5,1.8,-3.4,-0.199999999999999,2.3,-0.4,8,Memphis,66
